Compound ID,SMILES,Actual logS,Predicted logS,Residual,Absolute Error
2-Hexanol,CCCCC(C)O,-0.89,-0.8002110166504275,-0.08978898334957253,0.08978898334957253
Methoxychlor,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,-6.157180994572633,-0.7328190054273671,0.7328190054273671
chloropropylate,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53,-4.957458241836264,0.4274582418362636,0.4274582418362636
ethofumesate,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,-3.210752918499862,-0.2092470815001377,0.2092470815001377
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,-1.180873878750202,0.714873878750202,0.714873878750202
chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67,-5.626871754255533,-0.04312824574446683,0.04312824574446683
Pteridine,c2cnc1ncncc1n2,0.02,-1.4843564948301697,1.5043564948301698,1.5043564948301698
1-Octene ,CCCCCCC=C,-4.44,-4.506410932412883,0.06641093241288232,0.06641093241288232
Hydrocortisone ,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,-3.7741581163987794,0.6841581163987795,0.6841581163987795
"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,-2.34,-2.648370877333698,0.30837087733369817,0.30837087733369817
5-Allyl-5-ethylbarbital,O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614,-2.1364591446282044,0.5224591446282043,0.5224591446282043
7-methoxypteridine,COc2cnc1cncnc1n2,-0.91,-1.4972207692675341,0.5872207692675341,0.5872207692675341
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,-3.9095739452616165,-0.8504260547383833,0.8504260547383833
4-Bromotoluene,Cc1ccc(Br)cc1,-3.19,-2.978836885232977,-0.21116311476702299,0.21116311476702299
diphenamid,CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-2.98,-3.031837466565827,0.05183746656582722,0.05183746656582722
Ethyl-p-aminobenzoate,CCOC(=O)c1ccc(N)cc1,-2.1,-2.6599257389981887,0.5599257389981886,0.5599257389981886
1-Hexene,CCCCC=C,-3.23,-3.2559738520002326,0.02597385200023261,0.02597385200023261
phenolphthalein,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9,-4.638613658934355,1.7386136589343555,1.7386136589343555
2-Ethyl-1-butanol,CCC(CC)CO,-1.17,-0.7181252646091257,-0.4518747353908742,0.4518747353908742
benzothiazole,c2ccc1scnc1c2 ,-1.5,-2.0304445908697217,0.5304445908697217,0.5304445908697217
Cycloheptane,C1CCCCCC1,-3.51,-3.5746213722893048,0.06462137228930498,0.06462137228930498
Iodomethane,CI,-1.0,-1.158773973963272,0.15877397396327209,0.15877397396327209
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.14,-4.737727608403152,0.5977276084031526,0.5977276084031526
Carvacrol,c1(O)c(C)ccc(C(C)C)c1,-2.08,-2.3214314988281326,0.24143149882813253,0.24143149882813253
Pyrimidine,c1cncnc1,1.1,0.5185243401010058,0.5814756598989943,0.5814756598989943
Bromomethane,CBr,-0.79,-0.5439777788939519,-0.2460222211060481,0.2460222211060481
Ethylbenzene,CCc1ccccc1,-2.77,-2.7435756943633627,-0.026424305636637335,0.026424305636637335
"4,4'-PCB",Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,-5.761197235225925,-0.7988027647740745,0.7988027647740745
Ancymidol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,-3.4225928541151283,0.8265928541151282,0.8265928541151282
Triadimefon,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,-3.61,-4.39922211579577,0.7892221157957704,0.7892221157957704
Dioxacarb,CNC(=O)Oc1ccccc1C2OCCO2,-1.57,-1.8070612487309827,0.23706124873098267,0.23706124873098267
Monolinuron,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,-2.581753164593775,0.011753164593775178,0.011753164593775178
phenanthridine,c1ccc2c(c1)cnc3ccccc23 ,-2.78,-3.897174365651455,1.1171743656514552,1.1171743656514552
Pentyl propanoate,CCCCC(=O)OCC,-2.25,-1.6489139856272226,-0.6010860143727774,0.6010860143727774
2-Ethyl-1-hexanol,CCCCC(CC)CO,-2.11,-1.8953821769287476,-0.21461782307125232,0.21461782307125232
Benzo(b)fluoranthene,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,-7.995471641380142,-0.23452835861985832,0.23452835861985832
